"McComb, David", "1962(b)–1999(d)", "", "The Triffids , The Blackeyed Susans , Red Pony"
"Mach Pelican", "1996–2007", "Punk rock", ""
"The Manikins", "1977–1980", "Protopunk / New Wave", "The Scientists , Hoodoo Gurus"
"The Marigolds", "", "", "The Neptunes , DM3, The Chevelles"
"Martha's Vineyard", "1986–1990", "Folk / rock", "The Blackeyed Susans"
"Masque:rade", "2004–2007", "Industrial rock", "Noir du'Soleil , Like Junk , Matty Trash and the Horrorbles"
"Mathew de la Hunty", "", "", "Tall Tales and True"
"Matty B (Mathew Barrett)", "2000–present", "Australian Hip-Hop", "Sylabolliks Crew"
"Micadelic", "", "Australian Hip-Hop", ""
"Miles Away", "2002–present", "Hardcore Punk", ""
"Mink", "", "", ""
"Mink Mussel Creek", "2006–present", "Psychedelic rock , heavy psych", "Tame Impala , Pond , Space Lime Peacock, Giant Tortoise, Allbrook/Avery, The Dee Dee Dums"
"Missing Garden Gnomes", "", "", ""
"The Mission Blue", "1998–2001", "Indie pop", "Little Birdy , Freud's Pillow, One Horse Town, Bank Holidays , Jodie Tes & the Popular Front"
"Molasses", "", "", ""
"Moriarty", "2001-2007", "Dance", "The Hedonists"
"Mucky Duck Bush Band", "1974–", "folk music", ""
"Murphy, Chris", "1976(b)–present", "Rock", "Australian Idol contestant, Murphy's Lore"
"Murphy, Courtney", "1979(b)–present", "Rock", "Australian Idol contestant, Murphy's Lore"
"Murphy, Miranda", "", "Pop", "Popstars contestant"
"Howie Morgan", "", "", ""
"Mukaizake", "", "", ""
"Namesake", "", "", ""
"Nansing Quartet", "", "", "Sensitive New Age Cowpersons , Asleep at the Wheel , Dude Ranch, Zydecats, Billie's Holiday, Double Dub, The Jam Tarts"
"Nathan Guant and the Blackeyed Dogs", "", "", ""
"Neptunes", "198?–", "", "The Bamboos , The Marigolds , The Stems , Diddy Wah Who Daddy's"
"New Rules for Boats", "2004–present", "Indie pop", ""
"nina.x", "2002–2008", "Blues , Jazz , Pop", ""
"Noir du'Soleil", "2007–present", "Industrial music", "Masque:rade, Like Junk"
"The Nordeens", "2001–present", "Alternative Rock", "College Fall, Showbag! , Team Jedi, Russian Winters"
"Clare Nina Norelli", "2008–present", "Blues , Jazz , Pop , Film score", "nina.x"
"No Flowers No Wedding Dress", "1991–2001", "Space Rock", "Salvage Diver , The Gutterville Splendor 6 , DB Threshold , Red Pepper"
"Not Enough Rope", "1994–2001", "Folk , Rock music", ""
"One Horse Town", "2002–2007", "Indie rock", "Seahorse Radio, Spank, Voodoo Economic Bank Holidays"
"One Out One Back", "1987–1989", "Indie rock", "Never Never, Dude Ranch"
"Organism", "1989–1992", "Indie rock , Alternative rock", "The Stu Thomas Paradox , Kim Salmon and the Surrealists , Dave Graney"
"Palisades", "", "", ""
"The Panics", "2002–present", "Rock music", ""
"The Panda Band", "2003–present", "Indie pop", "Rollerskates"
"Paradoxx", "", "Electro / Synthpop", ""
"Pathogen", "", "", ""
"Peace, Love and all that Stuff", "1984–present", "Rock / Pop music", "V Capri"
"Pendulum", "2001–present", "Drum and Bass", ""
"Penelope", "1996–2000", "Alternative rock", "Tim Beor"
"Phil's Finest Hour", "", "", ""
"The Pilgrims", "1986–1989", "Power Pop", "The Beekeepers , Big Gordi , The Moment"
"The Pigram Brothers", "1996–present", "", "Scrap Metal"
"Plutonic Girl", "", "", "Apartment 99 , Apartment 25 , Red Jezebel"
"Pond", "2008–present", "Psychedelic rock , Psychedelic pop", "Tame Impala , Mink Mussel Creek, Space Lime Peacock, Giant Tortoise, Allbrook/Avery, The Dee Dee Dums, Gum, The Silents"
"Prawns With Horns", "1991–", "Funk", ""
"The Preytells", "2004–present", "Rock", "Spencer Tracy , Lash"
"Project: Bad", "", "", ""
"Project Mayhem", "2001–present", "Hard rock", "Standard Deviants"
"Push Humpty", "", "", ""
"Quick And The Dead", "1978–1986", "Punk rock", "Skrewdriver"
"The Quixotics", "", "", "Colourblind"
"Rabbits Wedding", "1984–1989", "Alt rock / Pop", ""
"Radarmaker", "2000–present", "Art rock", ""
"Red Jezebel", "1997–present", "Alternative rock", "Plutonic Girl"
"Rhibosome", "1998–2004", "", "Flow Dynamics , Soul Harmonics"
"Rollerskates", "1999–present", "Indie pop", "The Panda Band , Lo-Key Fu"
"Roly Skender", "", "", ""
"The Rosemary Beads", "", "", ""
"The Resonance", "", "Drum and Bass", ""
"Russians", "", "", ""
"Saidaside", "", "Indie Pop", "The Favorite Game, The Peaks, Ammonia"
"Kim Salmon and the Surrealists", "1987–1999, 2006", "Alternative rock", "The Scientists , The Beasts of Bourbon , Kim Salmon and the Business , Antenna , Darling Downs , Salamander Jim"
"San Cisco", "2009–present", "Indie Pop", "The Flairz"
"Saracen", "1980–1983, 1986–1987", "Heavy metal", "Trilogy"
"Saritah", "", "World music", ""
"Schvendes", "2002–present", "Alternative", "Fall Electric"
"The Scientists", "1978–1987, 1995, 2006", "Alternative rock", "Hoodoo Gurus , Kim Salmon and the Surrealists , The Beasts of Bourbon , The Dubrovniks"
"The Scotch of St James", "2006–present", "Alternative rock", ""
"Scott, Bon", "1946(b)–1980(d)", "Hard rock", "The Spektors , The Valentines , Fraternity , AC/DC"
"Scrap Metal", "", "", ""
"Seahorse Radio", "1996–", "Soul", "Air Ensemble"
"Matthew Sforcina", "1986–present", "Avantegarde/Experimental/Vocalist", ""
"Selwyn", "1982(b)–present", "R&B", ""
"Sensitive New Age Cowpersons", "1994–2007", "Folk", "The Jam Tarts and Nansing Quartet"
"Sex Panther", "2005–present", "", ""
"Shallow", "2001-2005", "", "The Externals, Runt, Inquisition, Urine Sample, Cartoon Horrors, blumanna, Moondog J Blues Band, Four left feet, Odd Sock, The Family Singalong Turns To Tragedy"
"Showbag!", "2000–2004", "", "Bucket, Jayco Brothers, Turnstyle , Josivac"
"The Silents", "2003–present", "Alternative rock , Psychedelic rock", "Pond"
"The Silver Scene", "2006–present", "Indie Pop", "Lash , Spencer Tracy"
"Sleeper X", "2002–present", "Experimental metal", ""
"The Sleepy Jackson", "1998–present", "Alternative rock , Baroque pop", "End of Fashion , Eskimo Joe , Spencer Tracy , Little Birdy"
"Sneaky Weasel Gang", "2005–present", "Pop / Roots", ""
"Snowman", "2003–present", "Alternative rock", ""
"Sodastream", "1997–2007", "Rock", "Thermos Cardy"
"The Someloves", "1986–1990", "Alternative rock", "The Stems , Lime Spiders , The Orange Humble Band , DM3 , Dom Mariani and the Majestic Kelp"
"Space Lime Peacock", "2008", "Psychedelic funk", "Tame Impala , Pond , Mink Mussel Creek, Giant Tortoise, Allbrook/Avery, The Dee Dee Dums, Gum, Melody's Echo Chamber"
"Spank", "", "", "[Voodoo Economic] One Horse Town, Pete Stone & The Assistance"
"The Spektors", "1964–1966", "Rock", "The Valentines , The Winstons, AC/DC"
"Spencer Tracy", "1999–2004", "Rock", "The Sleepy Jackson , Astronaut , The Preytells , The Avenue , Eskimo Joe"
"Spicy Baby Tomatoes", "1990–1993", "Rock , Metal , Hip-Hop", "Rollerskates , Air Ensemble"
"Sprintbug", "", "Indie Pop", ""
"Squidfinger", "", "Funk", ""
"Steele, Katy", "1983(b)–present", "", "Little Birdy"
"Steele, Luke", "", "", "The Sleepy Jackson , Nations by the River , Empire of the Sun"
"The Stems", "1983–1987, 2003, 2007", "", "The Someloves , The Chevelles , DM3 , Dom Mariani and the Majestic Kelp , The Neptunes"
"Stolen Picassos", "", "", ""
"Stonefish", "", "", ""
"Stoney Joe", "2010–Present", "Country Electro", "Circus Murders , Fondula"
"Storytime", "1991–2001", "Instrumental rock", ""
"Stray Tapes", "", "", ""
"Streetlight", "", "", ""
"Subtruck", "1998–present", "Hard rock", ""
"Sugar Army", "Rock", "", ""
"Sugarchild", "1994–present", "Indie Pop", ""
"Summer Suns", "", "", ""
"Supernaut", "1974–1980", "Punk rock", "The Saints , Honeydippers"
"Superscope", "1995–", "Indie rock", "Dom Mariani and the Majestic Kelp , The Burton Cool Suit"
"Swamp Donkey", "2005–Present", "Pub Rock", "Viagra Falls , Urban Rooster"
"Swamp Monsters", "", "", ""
"Tallis, Steve", "", "", ""
"Tame Impala", "2007–present", "Psychedelic rock", "Pond , Mink Mussel Creek, Space Lime Peacock, Giant Tortoise, Allbrook/Avery, The Dee Dee Dums, Gum, Melody's Echo Chamber, The Flaming Lips"
"Team Jedi", "1996–2003", "Alternative rock", ""
"Thermos Cardy", "1995–1997", "Indie Pop", "Sodastream"
"Thomas, Stu", "1989–present", "Alternative rock", "The Stu Thomas Paradox , Stu & The Celestials , Dave Graney , Dave Graney & Clare Moore feat. The Lurid Yellow Mist, Kim Salmon and the Surrealists , The Scientists , Kim Salmon and the Business , The Brass Bed, Luxedo , Billy Miller , Organism , Crumpet , Barb Waters , Dan Brodie and the Broken Arrows , Red Lantern , Soldiers , Jane Dust"
"Thrust", "", "Funk", ""
"The Tigers", "", "", ""
"Errol H. Tout", "", "", ""
"Toby & Code Red", "2002–present", "Blues & Roots", ""
"Tracksuit", "2008–present", "", ""
