"Barbie: Groom and Glam Pups", "Game Machine Studios", "THQ", "2010", "", "✔", "✔"
"Barbie and the Three Musketeers", "", "Activision", "2009", "", "", "✔"
"Barbie as the Island Princess", "Ivolgamus", "Activision Fox Interactive", "2007", "", "✔", "✔"
"Barbie Horse Adventures: Riding Camp", "", "Activision", "2008", "", "✔", "✔"
"Barnyard", "Blue Tongue Entertainment", "THQ", "2006", "✔", "✔", "✔"
"Baroque", "Sting Entertainment", "Atlus NA Rising Star Games PAL Sting Entertainment JP", "2008", "✔", "✔", "✔"
"Baseball Blast!", "", "Take-Two Interactive", "2009", "", "", "✔"
"Basketball Hall of Fame: Ultimate Hoops Challenge", "Collision Studios", "Zoo Games", "2010", "", "", "✔"
"Bass Pro Shops: The Hunt", "Piranha Games", "XS Games Jack of All Games", "2010", "", "", "✔"
"Bass Pro Shops: The Strike", "Piranha Games", "XS Games Psyclone", "2009", "", "", "✔"
"Batman: The Brave and the Bold – The Videogame", "WayForward Technologies", "Warner Bros. Interactive", "2010", "", "✔", "✔"
"Battalion Wars 2", "Kuju Entertainment", "Nintendo", "2007", "✔", "✔", "✔"
"Battle of Giants: Dinosaur Strike", "Ubisoft Quebec", "Ubisoft", "2010", "", "", "✔"
"Battle of the Bands", "Planet Moon Studios", "THQ", "2008", "", "✔", "✔"
"Battle Rage: The Robot Wars", "", "Data Design Interactive", "2008", "", "✔", "✔"
"Battleship", "Magic Pockets", "Activision", "2012", "✔", "✔", "✔"
"Beach Fun Summer Challenge", "", "Conspiracy Entertainment", "2009", "", "✔", "✔"
"The Beatles: Rock Band", "Pi Studios", "MTV Games", "2009", "", "", "✔"
"Beastly", "", "Storm City Games", "2011", "", "✔", "✔"
"Bee Movie Game", "Smart Bomb Interactive", "Activision", "2007", "", "✔", "✔"
"Ben 10: Alien Force", "Monkey Bar Games", "D3 Publisher", "2008", "", "✔", "✔"
"Ben 10: Alien Force — Vilgax Attacks", "Papaya Studio", "D3 Publisher", "2009", "", "✔", "✔"
"Ben 10: Omniverse", "Vicious Cycle Software", "D3 Publisher", "2012", "", "✔", "✔"
"Ben 10: Protector of Earth", "High Voltage Software", "D3 Publisher WB Games", "2007", "", "✔", "✔"
"Ben 10: Ultimate Alien — Cosmic Destruction", "Papaya Studio", "D3 Publisher", "2010", "", "✔", "✔"
"Bermuda Triangle", "", "Storm City Games", "2010", "", "", "✔"
"Beyblade: Metal Fusion — Battle Fortress", "", "Hudson Soft", "2009", "✔", "✔", "✔"
"Big Beach Sports", "HB Studios", "THQ", "2008", "", "✔", "✔"
"Big Beach Sports 2", "Jet Black Games", "THQ", "2008", "", "✔", "✔"
"Big Brain Academy: Wii Degree Big Brain Academy for Wii PAL Wii de Yawaraka Atama Juku JP", "Nintendo EAD", "Nintendo", "2007", "✔", "✔", "✔"
"Big Catch Bass Fishing 2", "505 Games", "505 Games", "2010", "", "✔", ""
"Big League Sports World Championship Sports PAL", "Koolhaus Games", "Activision", "2008", "", "", "✔"
"Big League Sports: Summer", "", "Activision", "2009", "", "", "✔"
"Big Time Rush: Dance Party", "GameMill Entertainment", "", "2012", "", "", "✔"
"Bigfoot: Collision Course", "DSI Games", "Zoo Games", "2008", "", "✔", "✔"
"The Biggest Loser", "Blitz Games", "THQ", "2009", "", "✔", "✔"
"The Biggest Loser: Challenge", "Blitz Games", "THQ", "2010", "", "✔", "✔"
"The Bigs", "Blue Castle Games", "2K Sports", "2007", "", "✔", "✔"
"The Bigs 2", "Blue Castle Games", "2K Sports", "2009", "", "✔", "✔"
"Billy the Wizard: Rocket Broomstick Racing", "Data Design Interactive", "Conspiracy Entertainment Data Design Interactive PAL", "2007", "", "✔", "✔"
"Bionicle Heroes", "TT Games", "Eidos Interactive", "2007", "", "✔", "✔"
"Birthday Party Bash", "Cat Daddy Games", "2K Play", "2009", "", "", "✔"
"Bit.Trip Complete", "Gaijin Games", "Aksys Games Rising Star Games PAL", "2011", "", "✔", "✔"
"Blast Works: Build, Trade, Destroy", "Budcat Creations", "Majesco", "2008", "", "✔", "✔"
"Blazing Angels: Squadrons of WWII", "Ubisoft Romania", "Ubisoft", "2007", "", "✔", "✔"
"Bleach: Shattered Blade", "Polygon Magic", "Sega", "2006", "✔", "✔", "✔"
"Bleach: Versus Crusade", "Treasure", "Sega", "2008", "✔", "", ""
"Block Party", "Ivolgamus", "Activision", "2008", "", "✔", "✔"
"Bob the Builder: Festival of Fun", "Atomic Planet Halch", "Mastertronic Blast! Entertainment", "2007", "", "✔", ""
"Bolt", "Avalanche Software", "Disney Interactive Studios", "2008", "", "✔", "✔"
"Bomberman Land", "Hudson Soft Racjin", "Konami Rising Star Games PAL Hudson Soft JP", "2007", "✔", "✔", "✔"
"Boogie", "EA Montreal", "Electronic Arts", "2007", "", "✔", "✔"
"Boogie Superstar", "EA Montreal", "Electronic Arts", "2008", "", "✔", "✔"
"Boom Blox", "EA Los Angeles Amblin Entertainment", "Electronic Arts", "2008", "✔", "✔", "✔"
"Boom Blox Bash Party", "Amblin Entertainment EA Los Angeles", "Electronic Arts", "2009", "", "✔", "✔"
"Boot Camp Academy", "Zoo Games", "Green Screen Games", "2010", "", "", "✔"
"Bratz Girlz Really Rock", "Blitz Games", "THQ", "2008", "", "✔", "✔"
"Bratz Kidz", "Neko Entertainment", "The Game Factory", "2008", "", "✔", "✔"
"Bratz: The Movie", "Blitz Games", "THQ", "2007", "", "✔", "✔"
"Brave: A Warrior's Tale", "Collision Studios", "Evolved Games", "2008", "", "✔", "✔"
"Broken Sword: The Shadow of the Templar — Director's Cut", "Revolution Software", "Ubisoft", "2009", "", "✔", "✔"
"Brothers in Arms: Double Time", "Gearbox Software Demiurge Studios", "Ubisoft", "2008", "", "✔", "✔"
"Brunswick Pro Bowling", "Point of View, Inc.", "Crave Entertainment 505 Games PAL", "2007", "", "✔", "✔"
"Brunswick Zone Cosmic Bowling", "CokeM Interactive", "Game Mill Entertainment", "2010", "", "", "✔"
"Buck Fever", "", "Destineer", "2009", "", "", "✔"
"Build-a-Bear Workshop: A Friend Fur All Seasons", "", "The Game Factory", "2008", "", "✔", "✔"
"Build-a-Bear Workshop: Friendship Valley", "", "Activision", "2010", "", "✔", "✔"
"Build 'n Race", "Icon Games Entertainment", "Zoo Games", "2009", "", "", "✔"
"Burger Bot", "Rhino Group", "Virtual Play Games", "2010", "", "", "✔"
"Burger Island", "", "Destineer", "2009", "", "", "✔"
"Bully: Scholarship Edition", "Rockstar Toronto", "Rockstar Games", "2008", "✔", "✔", "✔"
"Bust-a-Move Bash!", "Taito Happy Happening", "Majesco", "2007", "✔", "✔", "✔"
"Busy Scissors", "Manifest Oranj Game Machine Studios", "Little Orbit", "2009", "", "✔", "✔"
"Cabela's African Adventures", "Activision", "Activision", "2013", "", "✔", "✔"
"Cabela's Big Game Hunter", "Magic Wand Productions", "Activision Value", "2007", "", "✔", "✔"
"Cabela's Big Game Hunter 2010", "Activision", "Activision", "2009", "", "✔", "✔"
"Cabela's Big Game Hunter 2012", "Activision", "Activision", "2011", "", "✔", "✔"
"Cabela's Dangerous Hunts 2009", "Magic Wand Productions", "Activision", "2008", "", "", "✔"
"Cabela's Dangerous Hunts 2011", "Activision", "Activision", "2010", "", "", "✔"
"Cabela's Dangerous Hunts 2013", "", "Activision", "2012", "", "✔", "✔"
"Cabela's Legendary Adventures", "", "Activision", "2010", "", "", "✔"
"Cabela's Monster Buck Hunter", "", "Activision", "2008", "", "", "✔"
"Cabela's North American Adventures 2011", "Fun Labs", "Activision", "2010", "", "", "✔"
"Cabela's Outdoor Adventures 2010", "Fun Labs", "Activision", "2009", "", "", "✔"
"Cabela's Trophy Bucks", "Magic Wand Productions", "Activision", "2007", "", "✔", "✔"
"The Cages: Pro Style Batting Practice", "Alpha Unit", "Konami", "2010", "", "", "✔"
"Cake Mania: In the Mix!", "Sandlot Games", "Sandlot Games", "2008", "", "", "✔"
"Call for Heroes: Pompolic Wars", "Quotix Software", "Strategy First Data Design Interactive", "2007", "", "✔", "✔"
"Call of Duty 3", "Treyarch Exakt Entertainment", "Activision", "2006", "", "✔", "✔"
"Call of Duty 4: Modern Warfare — Reflex Edition", "Treyarch", "Activision", "2009", "", "✔", "✔"
"Call of Duty: Black Ops", "Treyarch", "Activision", "2010", "", "✔", "✔"
"Call of Duty: Modern Warfare 3", "Treyarch", "Activision", "2011", "", "✔", "✔"
"Call of Duty: World at War", "Exakt Entertainment", "Activision Blizzard", "2008", "", "✔", "✔"
"Calling", "Hudson Soft", "Hudson Soft", "2009", "✔", "✔", "✔"
"Calvin Tucker's Redneck: Farm Animal Racing Tournament", "", "Zoo Games", "2008", "", "", "✔"
"Calvin Tucker's Redneck Jamboree", "Humagade", "Zoo Games", "2008", "", "✔", "✔"
"Canada Hunt", "Rhino Group", "Virtual Play Games", "2010", "", "", "✔"
"Candace Kane's Candy Factory", "Destineer", "Destineer", "2008", "", "", "✔"
"Captain America: Super Soldier", "Next Level Games High Voltage Software", "Sega", "2011", "", "✔", "✔"
"Captain Rainbow", "Skip", "Nintendo", "2008", "✔", "", ""
"Carnival Games", "Cat Daddy Games", "Global Star Software", "2007", "", "✔", "✔"
"Carnival Games: Mini-Golf", "", "2K Play", "2008", "", "✔", "✔"
"Cars", "Rainbow Studios", "THQ", "2006", "✔", "✔", "✔"
"Cars 2", "Avalanche Software", "THQ", "2011", "", "✔", "✔"
"Cars Mater-National Championship", "Rainbow Studios", "THQ", "2007", "", "✔", "✔"
"Cars Race-O-Rama", "Incinerator Studios Tantalus Media", "THQ", "2009", "", "✔", "✔"
"Cars Toon: Mater's Tall Tales", "Papaya Studio", "Disney Interactive", "2010", "", "✔", "✔"
"Case Closed: The Mirapolis Investigation", "Marvelous Entertainment", "Marvelous Entertainment Nobilis PAL", "2007", "✔", "✔", ""
"Casper's Scare School: Spooky Sports Day", "", "Red Wagon Games", "2010", "", "", "✔"
"Castle of Shikigami III", "Alfa System SKONEC", "Aksys Games NA Arc System Works JP", "2007", "✔", "", "✔"
"Castlevania Judgment", "Konami Eighting", "Konami", "2008", "✔", "✔", "✔"
"Cate West: The Vanishing Files", "Gamenauts", "Destineer Oxygen Games PAL", "2009", "", "✔", "✔"
"Celebrity Sports Showdown", "EA Canada", "EA Sports", "2008", "", "✔", "✔"
"Championship Foosball", "", "505 Games", "2008", "", "✔", "✔"
"Chaotic: Shadow Warriors", "FUN Labs", "Activision", "2009", "", "", "✔"
"Charm Girls Club: Pajama Party", "EA Games", "Electronic Arts", "2009", "", "✔", "✔"
"Chegger's Party Quiz", "", "Oxygen Games", "2007", "", "✔", ""
"Chess Crusade", "Slam Games", "DSI Games Zoo Digital Publishing PAL", "2008", "", "✔", "✔"
"Chevrolet Camaro Wild Ride", "", "Storm City Games", "2010", "", "", "✔"
"Chicken Blaster", "", "Zoo Games", "2009", "", "", "✔"
"Chicken Little: Ace in Action", "Avalanche Software", "Disney Interactive Studios", "2006", "", "✔", "✔"
"Chicken Riot", "", "City Interactive", "2010", "", "✔", "✔"
"Chicken Shoot", "Frontline Studios", "DSI Games Zoo Digital Publishing PAL", "2007", "", "✔", "✔"
"Chibi-Robo!", "Skip Nintendo", "Nintendo", "2009", "✔", "", ""
"The Chronicles of Narnia: Prince Caspian", "Traveller's Tales", "Disney Interactive Studios Noivy Disk", "2008", "✔", "✔", "✔"
"Chrysler Classic Racing", "Extra Mile Studios", "Zoo Games", "2008", "", "✔", "✔"
"Chuck E. Cheese's Party Games", "Tommo", "UFO Interactive", "2010", "", "", "✔"
"Chuck E. Cheese's Sports Games", "Tommo", "UFO Interactive", "2011", "", "", "✔"
"CID the Dummy", "Oxygen Games Twelve Games", "Oxygen Games", "2009", "", "✔", "✔"
"Circus Games", "", "Ubisoft", "2008", "", "", "✔"
"City Builder", "Collision Studios", "Virtual Play Games", "2010", "", "", "✔"
"Classic British Motor Racing", "Data Design Interactive", "Bold Games", "2008", "", "✔", "✔"
"Cleaning Battalion: Clean Keeper", "", "Idea Factory", "2008", "✔", "", ""
"Clever Kids: Farmyard Fun", "", "Ghostlight", "2008", "", "✔", ""
"Clever Kids: Pirates", "", "Ghostlight", "2008", "", "✔", ""
"Cloudy with a Chance of Meatballs", "Ubisoft Shanghai", "Ubisoft", "2009", "", "✔", "✔"
"Club Penguin: Game Day!", "Artoon", "Disney Interactive", "2010", "", "✔", "✔"
"Cocoto Kart Racer", "Neko Entertainment", "BigBen Interactive Conspiracy Entertainment", "2008", "", "✔", "✔"
"Cocoto Magic Circus", "Neko Entertainment", "Conspiracy Entertainment BigBen Interactive", "2008", "", "✔", "✔"
"Code Lyoko: Quest for Infinity", "Neko Entertainment Taffy Entertainment", "The Game Factory", "2007", "", "✔", "✔"
"Cold Stone Creamery: Scoop It Up", "Zoo Games", "Zoo Games", "2009", "", "", "✔"
"The Conduit", "High Voltage Software", "Sega", "2009", "", "✔", "✔"
"Conduit 2", "High Voltage Software", "Sega", "2011", "", "✔", "✔"
"Cook Wars", "Ubisoft", "Ubisoft", "2009", "", "", "✔"
"Cooking Mama: Cook Off", "Cooking Mama Limited", "Majesco NA Taito JP 505 Games PAL", "2007", "✔", "✔", "✔"
"Cooking Mama: World Kitchen", "Cooking Mama Limited", "Majesco NA Taito JP 505 Games PAL", "2008", "✔", "✔", "✔"
"Coraline", "Papaya Studio", "D3 Publisher", "2009", "", "✔", "✔"
"Cosmic Family", "Ubisoft", "Ubisoft", "2007", "", "✔", "✔"
"Counter Force", "Conspiracy Entertainment", "Conspiracy Entertainment", "2007", "", "✔", "✔"
"Cradle of Rome", "cerasus.media", "D3 Publisher", "2009", "", "", "✔"
"Cranium Kabookii", "", "Ubisoft", "2007", "", "✔", "✔"
"Crash: Mind over Mutant", "Radical Entertainment", "Sierra Entertainment Activision", "2008", "", "✔", "✔"
"Crash Dummy vs. the Evil D-Troit", "Twelve Interactive", "Oxygen Games", "2007", "", "✔", ""
"Crash of the Titans", "Radical Entertainment", "Sierra Entertainment", "2007", "", "✔", "✔"
"Crayola Colorful Journey", "", "Crave Entertainment", "2009", "", "", "✔"
"Crayon Shin-chan: Saikyou Kazoku Kasukabe King Wii", "Banpresto", "Banpresto", "2006", "✔", "✔", ""
"Crazy Chicken Tales", "", "Conspiracy Entertainment", "2010", "", "", "✔"
"Crazy Climber Wii", "", "Nippon System", "2007", "✔", "", ""
"Crazy Machines", "FAKT Software", "dtp entertainment", "2010", "", "✔", "✔"
"Crazy Mini Golf 2", "Data Design Interactive", "XS Games", "2010", "", "", "✔"
"Create", "EA Bright Light", "Electronic Arts", "2010", "", "✔", "✔"
"The Croods: Prehistoric Party!", "Torus Games", "D3 Publisher", "2013", "", "✔", "✔"
"Cruis'n", "Just Games Interactive", "Midway Games", "2007", "", "✔", "✔"
"Cruise Ship Resort", "GameMill Entertainment", "Avanquest", "2010", "", "✔", ""
"Cruise Ship Vacation Games", "GameMill Entertainment", "Activision", "2009", "", "", "✔"
"CSI: Deadly Intent", "Telltale Games", "Ubisoft", "2009", "", "✔", "✔"
"CSI: Fatal Conspiracy", "Telltale Games", "Ubisoft", "2010", "", "✔", "✔"
"CSI: Hard Evidence", "Telltale Games", "Ubisoft", "2008", "", "✔", "✔"
"Cursed Mountain", "Sproing Interactive Media , Deep Silver Vienna", "Deep Silver", "2009", "", "✔", "✔"
"Daisy Fuentes Pilates", "", "Sega", "2009", "", "", "✔"
"Dance Dance Revolution", "Konami", "Konami", "2010", "", "✔", "✔"
"Dance Dance Revolution II", "Konami", "Konami", "2011", "", "✔", "✔"
"Dance Dance Revolution Disney Grooves", "Konami Disney Interactive Studios", "Konami", "2009", "", "✔", "✔"
"Dance Dance Revolution Hottest Party", "Konami", "Konami", "2007", "✔", "✔", "✔"
"Dance Dance Revolution Hottest Party 2", "Konami", "Konami", "2008", "✔", "", "✔"
"Dance Dance Revolution Hottest Party 3", "Konami", "Konami", "2009", "✔", "", "✔"
"Dance Dance Revolution Winx Club", "Bemani Rainbow S.r.l.", "Konami", "2009", "", "✔", ""
